season,epnumInSeason,epnum,date,name,wikilink,description,types,bday,genres,gender,category
2,8,32,1976-11-20,George Harrison,/wiki/George_Harrison,Guitarist,Person,1943-02-25,"rock,pop,indian classical,experimental",Male,experimental
2,9,33,1976-11-27,Brian Wilson,/wiki/Brian_Wilson,Musician,Person,1942-06-20,"rock,pop,art rock,avant-pop,outsider",Male,art rock
2,10,34,1976-12-11,Frank Zappa,/wiki/Frank_Zappa,Musician,Person,1940-12-21,"rock,experimental,jazz,classical,pop,avant-garde",Male,jazz
2,11,35,1977-01-15,George Benson,/wiki/George_Benson,Musician,Person,1943-03-22,"jazz,r&b,soul,funk",Male,r&b
2,12,36,1977-01-22,Chuck Berry,/wiki/Chuck_Berry,Guitarist,Person,1926-10-18,rock and roll,Male,rock and roll
2,13,37,1977-01-29,Leo Sayer,/wiki/Leo_Sayer,Singer-songwriter,Person,1948-05-21,"soft rock,disco",Male,soft rock
2,14,38,1977-02-26,The Kinks,/wiki/The_Kinks,Rock band,MusicGroup,,"rock,pop",,
2,15,39,1977-03-12,Richard Baskin,/wiki/Richard_Baskin,Film composer,Person,1948-12-01,film score,Male,film score
2,16,40,1977-03-19,Levon Helm,/wiki/Levon_Helm,Musician,Person,1940-05-26,"rock,americana",Male,americana
2,16,40,1977-03-19,Dr. John,/wiki/Dr._John,Singer-songwriter,Person,1940-11-21,"jazz,blues,rock,boogie woogie,zydeco",Male,jazz
2,16,40,1977-03-19,The Meters,/wiki/The_Meters,Musical band,MusicGroup,,"new orleans r&b,funk",,funk
2,17,41,1977-03-26,Santana,/wiki/Santana_(band),Rock band,MusicGroup,,"latin rock,blues rock,psychedelic rock,acid rock,chicano rock",,blues rock
2,18,42,1977-04-09,Tom Waits,/wiki/Tom_Waits,Singer-songwriter,Person,1949-12-07,"rock,experimental",Male,experimental
2,18,42,1977-04-09,Brick,/wiki/Brick_(band),Musical band,MusicGroup,,"funk,r&b,disco",,r&b
2,19,43,1977-04-16,McGarrigle Sisters,/wiki/Kate_and_Anna_McGarrigle,Singer,MusicGroup,,folk rock,,folk rock
2,19,43,1977-04-16,Roslyn Kind,/wiki/Roslyn_Kind,Actress,Person,1951-01-09,cabaret,Female,cabaret
2,20,44,1977-04-23,Alan Price,/wiki/Alan_Price,Musician,Person,1942-04-19,"rock,blues rock,psychedelic rock,pop",Male,blues rock
2,20,44,1977-04-23,Neil Innes,/wiki/Neil_Innes,Writer,Person,1944-12-09,"parody,comedy rock",Male,comedy rock
2,21,45,1977-05-14,Joan Armatrading,/wiki/Joan_Armatrading,Singer-songwriter,Person,1950-12-09,"rock,pop,folk rock,blues",Female,folk rock
2,22,46,1977-05-21,Jennifer Warnes,/wiki/Jennifer_Warnes,Singer,Person,1947-03-03,"country rock,pop",Female,country rock
2,22,46,1977-05-21,Kenny Vance,/wiki/Kenny_Vance,Singer,Person,,,Male,
3,1,47,1977-09-24,Jackson Browne,/wiki/Jackson_Browne,Singer-songwriter,Person,1948-10-09,"rock,folk,country rock,soft rock",Male,folk
3,2,48,1977-10-08,Taj Mahal,/wiki/Taj_Mahal_(musician),Musician,Person,1942-05-17,"blues,blues rock,r&b,reggae,jazz,country blues,world music",Male,r&b
3,3,49,1977-10-15,Libby Titus,/wiki/Libby_Titus,Singer,Person,,,Female,
3,4,50,1977-10-29,Paul Simon,/wiki/Paul_Simon,Musician,Person,1941-10-13,"folk,rock,pop,world",Male,folk
