season,epnumInSeason,epnum,date,name,wikilink,description,types,bday,genres,gender
25,3,468,1999-10-23,Norm Macdonald,/wiki/Norm_Macdonald,Stand-up comedian,"Person,Thing",1959-10-17,"Political satire,observational comedy,anti-humor,feghoots,black comedy,surreal humour,wit",Male
25,4,469,1999-11-06,Dylan McDermott,/wiki/Dylan_McDermott,Actor,"Person,Thing",1961-10-26,,Male
25,5,470,1999-11-13,Garth Brooks,/wiki/Garth_Brooks,Singer-songwriter,"Thing,Person",1962-02-07,"Country,country pop,country rock",Male
25,6,471,1999-11-20,Jennifer Aniston,/wiki/Jennifer_Aniston,Actress,"Person,Thing",1969-02-11,,Female
25,7,472,1999-12-04,Christina Ricci,/wiki/Christina_Ricci,Actress,"Thing,Person",1980-02-12,,Female
25,8,473,1999-12-11,Danny DeVito,/wiki/Danny_DeVito,Actor,"Person,Thing",1944-11-17,,Male
25,9,474,2000-01-08,Jamie Foxx,/wiki/Jamie_Foxx,Actor,"Person,Thing",1967-12-13,"R&B,soul,Pop,hip hop,musical comedy",Male
25,10,475,2000-01-15,"Freddie Prinze, Jr.","/wiki/Freddie_Prinze,_Jr.",Actor,"Person,Thing",1976-03-08,,Male
25,11,476,2000-02-05,Alan Cumming,/wiki/Alan_Cumming,Actor,"Thing,Person",1965-01-27,,Male
25,12,477,2000-02-12,Julianna Margulies,/wiki/Julianna_Margulies,Actress,"Person,Thing",1966-06-08,,Female
25,13,478,2000-02-19,Ben Affleck,/wiki/Ben_Affleck,Actor,"Person,Thing",1972-08-15,,Male
25,14,479,2000-03-11,Joshua Jackson,/wiki/Joshua_Jackson,Actor,"Thing,Person",1978-06-11,,Male
25,15,480,2000-03-18,The Rock,/wiki/Dwayne_Johnson,Actor,"Person,Thing",1972-05-02,,Male
25,16,481,2000-04-08,Christopher Walken,/wiki/Christopher_Walken,Film actor,"Thing,Person",1943-03-31,,Male
25,17,482,2000-04-15,Tobey Maguire,/wiki/Tobey_Maguire,Actor,"Person,Thing",1975-06-27,,Male
25,18,483,2000-05-06,John Goodman,/wiki/John_Goodman,Actor,"Person,Thing",1952-06-20,,Male
25,19,484,2000-05-13,Britney Spears,/wiki/Britney_Spears,Singer,"Person,Thing",1981-12-02,"Pop,dance",Female
25,20,485,2000-05-20,Jackie Chan,/wiki/Jackie_Chan,Martial artist,"Thing,Person",1954-04-07,,Male
26,1,486,2000-10-07,Rob Lowe,/wiki/Rob_Lowe,Actor,"Person,Thing",1964-03-17,,Male
26,2,487,2000-10-14,Kate Hudson,/wiki/Kate_Hudson,Actress,"Person,Thing",1979-04-19,,Female
